날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 10월 11일,"70,954,000","67,698,000","71,475,000","67,282,000",0.62K,4.81%
2021년 10월 10일,"67,698,000","67,047,000","68,965,000","66,350,000",0.49K,0.97%
2021년 10월 09일,"67,048,000","65,981,000","67,722,000","65,668,000",0.29K,1.62%
2021년 10월 08일,"65,982,000","65,474,000","68,000,000","65,216,000",0.33K,0.78%
2021년 10월 07일,"65,474,000","67,121,000","67,271,000","65,230,000",0.36K,-2.45%
2021년 10월 06일,"67,121,000","61,800,000","67,747,000","61,173,000",1.33K,8.61%
2021년 10월 05일,"61,800,000","59,915,000","62,488,000","59,480,000",0.95K,3.12%
2021년 10월 04일,"59,932,000","58,474,000","60,229,000","57,311,000",0.90K,2.53%
2021년 10월 03일,"58,452,000","58,094,000","59,350,000","57,263,000",0.58K,0.62%
2021년 10월 02일,"58,094,000","58,356,000","58,965,000","57,694,000",0.39K,-0.50%
2021년 10월 01일,"58,386,000","53,475,000","58,533,000","52,970,000",0.72K,9.19%
2021년 09월 30일,"53,473,000","50,804,000","53,640,000","50,666,000",0.51K,5.25%
2021년 09월 29일,"50,804,000","50,268,000","51,800,000","49,861,000",0.45K,1.07%
2021년 09월 28일,"50,268,000","51,711,000","52,096,000","50,135,000",0.59K,-2.76%
2021년 09월 27일,"51,693,000","52,773,000","53,740,000","51,602,000",0.46K,-2.08%
2021년 09월 26일,"52,789,000","52,324,000","53,543,000","50,594,000",0.40K,0.89%
2021년 09월 25일,"52,324,000","52,158,000","52,400,000","50,911,000",0.36K,0.32%
2021년 09월 24일,"52,158,000","54,363,000","54,614,000","50,730,000",0.67K,-4.06%
2021년 09월 23일,"54,363,000","53,828,000","54,600,000","52,633,000",0.55K,0.98%
2021년 09월 22일,"53,833,000","50,659,000","54,121,000","50,071,000",0.89K,6.42%
2021년 09월 21일,"50,586,000","53,830,000","54,276,000","50,135,000",1.58K,-6.01%
2021년 09월 20일,"53,819,000","57,987,000","58,115,000","53,376,000",0.94K,-7.19%
2021년 09월 19일,"57,987,000","58,614,000","58,720,000","57,380,000",0.42K,-1.09%
2021년 09월 18일,"58,625,000","57,616,000","58,953,000","57,523,000",0.28K,1.75%
2021년 09월 17일,"57,616,000","57,248,000","57,801,000","56,868,000",0.42K,0.64%
2021년 09월 16일,"57,248,000","57,095,000","57,516,000","56,370,000",0.42K,0.21%
2021년 09월 15일,"57,127,000","56,605,000","57,694,000","55,895,000",0.88K,1.01%
2021년 09월 14일,"56,557,000","54,286,000","56,822,000","54,044,000",0.73K,4.18%
2021년 09월 13일,"54,286,000","55,084,000","56,698,000","53,307,000",0.55K,-1.45%
2021년 09월 12일,"55,084,000","54,742,000","55,570,000","54,250,000",0.49K,0.62%
2021년 09월 11일,"54,742,000","54,910,000","55,413,000","54,289,000",0.24K,-0.31%
2021년 09월 10일,"54,910,000","55,826,000","56,646,000","54,500,000",0.75K,-1.64%
2021년 09월 09일,"55,826,000","55,623,000","56,549,000","54,700,000",0.57K,0.36%
2021년 09월 08일,"55,623,000","56,603,000","57,210,000","52,901,000",0.52K,-1.76%
2021년 09월 07일,"56,620,000","60,851,000","61,143,000","54,467,000",3.33K,-6.95%
2021년 09월 06일,"60,851,000","59,280,000","61,051,000","58,803,000",0.74K,2.65%
2021년 09월 05일,"59,280,000","57,918,000","59,567,000","57,217,000",0.84K,2.35%
2021년 09월 04일,"57,918,000","57,825,000","58,470,000","57,301,000",0.43K,0.15%
2021년 09월 03일,"57,830,000","57,272,000","59,143,000","56,421,000",0.62K,0.93%
2021년 09월 02일,"57,297,000","56,480,000","58,427,000","56,352,000",0.48K,1.45%
2021년 09월 01일,"56,480,000","55,164,000","56,981,000","54,467,000",0.67K,2.39%
2021년 08월 31일,"55,160,000","55,631,000","56,360,000","54,980,000",0.61K,-0.85%
2021년 08월 30일,"55,631,000","57,181,000","57,350,000","55,420,000",0.58K,-2.72%
2021년 08월 29일,"57,186,000","57,382,000","58,000,000","56,366,000",0.33K,-0.34%
2021년 08월 28일,"57,382,000","57,421,000","57,853,000","56,610,000",0.24K,-0.07%
2021년 08월 27일,"57,421,000","55,235,000","57,650,000","54,582,000",0.48K,4.02%
2021년 08월 26일,"55,200,000","57,154,000","57,441,000","54,510,000",0.46K,-3.42%
2021년 08월 25일,"57,154,000","56,107,000","57,339,000","55,145,000",0.51K,1.87%
2021년 08월 24일,"56,107,000","57,727,000","57,828,000","55,862,000",0.94K,-2.80%
2021년 08월 23일,"57,725,000","57,665,000","58,705,000","57,398,000",0.53K,0.07%
2021년 08월 22일,"57,684,000","57,500,000","58,072,000","56,665,000",0.58K,0.32%
2021년 08월 21일,"57,500,000","57,646,000","58,351,000","56,759,000",0.62K,-0.25%
2021년 08월 20일,"57,646,000","54,940,000","57,934,000","54,746,000",1.20K,4.92%
2021년 08월 19일,"54,941,000","52,689,000","55,000,000","51,856,000",0.82K,4.24%
2021년 08월 18일,"52,705,000","52,553,000","53,700,000","51,802,000",0.77K,0.32%
2021년 08월 17일,"52,536,000","53,835,000","54,641,000","52,364,000",1.29K,-2.41%
2021년 08월 16일,"53,835,000","54,637,000","55,660,000","53,700,000",0.92K,-1.47%
2021년 08월 15일,"54,637,000","54,869,000","55,179,000","53,245,000",0.66K,-0.42%
2021년 08월 14일,"54,870,000","55,299,000","55,678,000","53,517,000",0.68K,-0.78%
2021년 08월 13일,"55,299,000","52,058,000","55,419,000","51,834,000",1.10K,6.23%
2021년 08월 12일,"52,058,000","52,546,000","53,358,000","51,393,000",0.65K,-0.96%
2021년 08월 11일,"52,561,000","52,322,000","53,483,000","52,201,000",0.92K,0.44%
2021년 08월 10일,"52,331,000","53,011,000","53,390,000","51,806,000",0.75K,-1.28%
2021년 08월 09일,"53,011,000","50,820,000","53,204,000","49,459,000",1.03K,4.44%
2021년 08월 08일,"50,757,000","51,015,000","51,733,000","50,163,000",0.78K,-0.48%
2021년 08월 07일,"51,003,000","49,366,000","51,158,000","49,030,000",1.02K,3.39%
2021년 08월 06일,"49,332,000","47,112,000","49,891,000","46,150,000",1.54K,4.67%
2021년 08월 05일,"47,132,000","45,772,000","47,700,000","43,739,000",1.46K,2.96%
2021년 08월 04일,"45,777,000","44,859,000","46,005,000","43,903,000",0.69K,2.05%
2021년 08월 03일,"44,859,000","45,403,000","46,158,000","44,326,000",0.61K,-1.20%
2021년 08월 02일,"45,403,000","46,240,000","46,802,000","45,043,000",0.60K,-1.81%
2021년 08월 01일,"46,240,000","47,959,000","49,372,000","46,035,000",0.94K,-3.68%
2021년 07월 31일,"48,005,000","48,516,000","48,734,000","47,606,000",0.42K,-1.05%
2021년 07월 30일,"48,516,000","45,980,000","48,640,000","44,350,000",1.19K,5.52%
2021년 07월 29일,"45,980,000","46,335,000","46,900,000","45,486,000",0.53K,-0.76%
2021년 07월 28일,"46,334,000","45,616,000","47,400,000","45,020,000",0.80K,1.57%
2021년 07월 27일,"45,616,000","43,075,000","45,616,000","42,020,000",0.82K,5.92%
2021년 07월 26일,"43,066,000","41,090,000","46,865,000","40,915,000",2.61K,4.84%
2021년 07월 25일,"41,078,000","40,486,000","41,123,000","39,631,000",0.50K,3.81%
2021년 07월 24일,"39,569,000","39,150,000","39,814,000","38,976,000",1.87K,1.11%
2021년 07월 23일,"39,135,000","37,910,000","39,149,000","37,750,000",0.77K,3.23%
2021년 07월 22일,"37,910,000","38,013,000","38,382,000","37,445,000",0.40K,-0.26%
2021년 07월 21일,"38,010,000","35,256,000","38,446,000","34,917,000",1.16K,7.81%
2021년 07월 20일,"35,256,000","36,711,000","36,870,000","34,782,000",0.50K,-3.96%
2021년 07월 19일,"36,711,000","37,620,000","37,690,000","36,398,000",0.51K,-2.42%
2021년 07월 18일,"37,620,000","37,200,000","38,150,000","36,969,000",0.34K,1.07%
2021년 07월 17일,"37,221,000","37,101,000","37,629,000","36,813,000",0.44K,0.32%
2021년 07월 16일,"37,101,000","37,576,000","38,030,000","36,689,000",0.47K,-1.26%
2021년 07월 15일,"37,576,000","38,585,000","39,052,000","37,000,000",0.56K,-2.66%
2021년 07월 14일,"38,602,000","38,753,000","38,982,000","37,475,000",0.38K,-0.39%
2021년 07월 13일,"38,753,000","39,137,000","39,288,000","38,201,000",0.52K,-0.98%
2021년 07월 12일,"39,137,000","40,164,000","40,546,000","38,701,000",0.65K,-2.51%
2021년 07월 11일,"40,146,000","39,618,000","40,550,000","39,270,000",0.40K,1.33%
2021년 07월 10일,"39,618,000","39,825,000","40,255,000","39,183,000",0.40K,-0.52%
2021년 07월 09일,"39,825,000","38,968,000","40,050,000","38,161,000",0.43K,2.06%
2021년 07월 08일,"39,022,000","39,699,000","39,793,000","38,142,000",0.57K,-1.69%
2021년 07월 07일,"39,692,000","39,849,000","40,680,000","39,611,000",0.68K,-0.31%
2021년 07월 06일,"39,814,000","39,462,000","40,100,000","39,462,000",0.04K,0.84%
2021년 07월 05일,"39,484,000","40,914,000","40,914,000","39,484,000",0.70K,-3.50%
2021년 07월 04일,"40,914,000","41,183,000","41,207,000","40,914,000",0.55K,1.44%
2021년 07월 03일,"40,335,000","39,413,000","40,335,000","39,196,000",0.19K,2.33%
2021년 07월 02일,"39,417,000","39,335,000","39,417,000","39,335,000",0.52K,0.21%
2021년 07월 01일,"39,335,000","40,705,000","40,705,000","38,941,000",0.73K,-3.32%
2021년 06월 30일,"40,685,000","41,535,000","41,535,000","40,610,000",1.02K,-1.92%
2021년 06월 29일,"41,482,000","39,997,000","41,980,000","39,997,000",0.92K,3.71%
2021년 06월 28일,"39,997,000","39,994,000","39,997,000","39,541,000",0.88K,0.05%
2021년 06월 27일,"39,976,000","37,690,000","39,976,000","37,690,000",1.14K,6.07%
2021년 06월 26일,"37,689,000","37,122,000","37,689,000","36,993,000",0.93K,1.58%
2021년 06월 25일,"37,101,000","40,177,000","40,177,000","37,101,000",1.81K,-7.66%
2021년 06월 24일,"40,177,000","39,079,000","40,177,000","39,079,000",1.42K,2.81%
2021년 06월 23일,"39,079,000","37,826,000","39,916,000","37,826,000",1.50K,3.31%
2021년 06월 22일,"37,826,000","37,260,000","37,826,000","36,670,000",3.47K,1.51%
2021년 06월 21일,"37,264,000","41,856,000","41,856,000","37,264,000",2.06K,-10.97%
2021년 06월 20일,"41,856,000","42,039,000","42,039,000","41,856,000",0.88K,-0.44%
2021년 06월 19일,"42,039,000","42,560,000","42,560,000","41,965,000",0.59K,-1.14%
2021년 06월 18일,"42,523,000","44,769,000","44,769,000","42,523,000",1.71K,-5.02%
2021년 06월 17일,"44,769,000","45,234,000","45,800,000","44,769,000",1.07K,-1.03%
2021년 06월 16일,"45,234,000","46,375,000","46,375,000","45,151,000",2.05K,-2.46%
2021년 06월 15일,"46,373,000","46,548,000","46,548,000","46,150,000",1.15K,-0.41%
2021년 06월 14일,"46,563,000","44,791,000","46,563,000","44,791,000",1.29K,3.94%
2021년 06월 13일,"44,800,000","41,384,000","44,800,000","41,111,000",2.01K,8.31%
2021년 06월 12일,"41,361,000","43,596,000","43,596,000","41,361,000",0.48K,-5.08%
2021년 06월 11일,"43,574,000","42,785,000","43,574,000","42,785,000",1.09K,1.90%
2021년 06월 10일,"42,761,000","43,232,000","43,232,000","42,477,000",1.57K,-1.15%
2021년 06월 09일,"43,259,000","38,531,000","43,259,000","38,531,000",2.66K,12.27%
2021년 06월 08일,"38,531,000","38,953,000","38,953,000","38,531,000",1.24K,-1.08%
2021년 06월 07일,"38,953,000","41,773,000","41,773,000","38,953,000",2.70K,-6.77%
2021년 06월 06일,"41,780,000","41,982,000","41,982,000","41,780,000",0.58K,-0.48%
2021년 06월 05일,"41,982,000","42,945,000","42,945,000","41,782,000",1.03K,-2.31%
2021년 06월 04일,"42,973,000","45,487,000","45,487,000","42,973,000",0.68K,-5.43%
2021년 06월 03일,"45,440,000","43,720,000","45,440,000","43,720,000",0.86K,3.93%
2021년 06월 02일,"43,720,000","43,208,000","43,720,000","43,198,000",0.90K,1.18%
2021년 06월 01일,"43,208,000","43,659,000","43,659,000","43,208,000",1.03K,-1.07%
2021년 05월 31일,"43,675,000","43,143,000","43,675,000","41,933,000",1.04K,1.23%
2021년 05월 30일,"43,145,000","42,669,000","43,418,000","42,669,000",0.91K,1.14%
2021년 05월 29일,"42,660,000","43,630,000","43,630,000","42,124,000",1.53K,-2.25%
2021년 05월 28일,"43,641,000","46,483,000","46,483,000","43,641,000",1.78K,-6.18%
2021년 05월 27일,"46,514,000","47,285,000","47,311,000","46,514,000",1.13K,-1.63%
2021년 05월 26일,"47,285,000","47,013,000","48,620,000","47,013,000",1.13K,0.64%
2021년 05월 25일,"46,984,000","47,233,000","47,233,000","46,902,000",1.45K,-0.25%
2021년 05월 24일,"47,100,000","42,499,000","47,100,000","42,499,000",2.17K,10.90%
2021년 05월 23일,"42,471,000","47,312,000","47,312,000","42,471,000",3.57K,-10.16%
2021년 05월 22일,"47,273,000","48,934,000","48,934,000","46,258,000",1.20K,-3.39%
2021년 05월 21일,"48,930,000","51,214,000","51,214,000","48,930,000",3.16K,-4.90%
2021년 05월 20일,"51,450,000","50,282,000","51,450,000","49,290,000",0.95K,2.32%
2021년 05월 19일,"50,282,000","53,150,000","53,150,000","50,282,000",3.83K,-5.40%
2021년 05월 18일,"53,153,000","54,062,000","54,062,000","53,153,000",1.65K,-1.66%
2021년 05월 17일,"54,050,000","57,483,000","57,483,000","54,050,000",1.83K,-6.06%
2021년 05월 16일,"57,538,000","58,248,000","59,833,000","57,538,000",2.48K,-1.17%
2021년 05월 15일,"58,217,000","61,568,000","61,568,000","58,217,000",1.57K,-5.38%
2021년 05월 14일,"61,526,000","62,879,000","62,879,000","61,526,000",1.13K,-2.15%
2021년 05월 13일,"62,879,000","61,103,000","62,879,000","61,103,000",1.58K,2.93%
2021년 05월 12일,"61,088,000","69,552,000","69,552,000","61,088,000",3.55K,-12.17%
2021년 05월 11일,"69,550,000","70,728,000","70,728,000","67,843,000",1.13K,-1.67%
2021년 05월 10일,"70,731,000","71,299,000","71,850,000","70,731,000",1.90K,-0.78%
2021년 05월 09일,"71,285,000","71,704,000","71,704,000","71,280,000",0.91K,-0.59%
2021년 05월 08일,"71,709,000","68,669,000","71,709,000","68,669,000",1.79K,4.46%
2021년 05월 07일,"68,647,000","68,398,000","69,122,000","68,398,000",2.00K,0.36%
2021년 05월 06일,"68,398,000","68,629,000","69,394,000","68,398,000",2.20K,-0.32%
2021년 05월 05일,"68,620,000","66,499,000","68,620,000","66,499,000",1.61K,2.91%
2021년 05월 04일,"66,679,000","69,876,000","70,106,000","66,679,000",1.18K,-4.58%
2021년 05월 03일,"69,876,000","68,334,000","69,876,000","68,334,000",1.12K,2.25%
2021년 05월 02일,"68,340,000","68,894,000","68,894,000","68,340,000",0.57K,-0.81%
2021년 05월 01일,"68,898,000","68,054,000","68,898,000","68,054,000",0.67K,1.21%
2021년 04월 30일,"68,075,000","63,712,000","68,075,000","63,712,000",1.18K,6.85%
2021년 04월 29일,"63,710,000","64,100,000","64,100,000","63,710,000",0.92K,-0.63%
2021년 04월 28일,"64,116,000","64,767,000","64,767,000","64,064,000",0.91K,-0.96%
2021년 04월 27일,"64,738,000","64,199,000","64,738,000","64,146,000",0.88K,0.84%
2021년 04월 26일,"64,196,000","59,700,000","64,196,000","59,700,000",1.48K,7.54%
2021년 04월 25일,"59,696,000","60,814,000","60,923,000","59,696,000",1.81K,-1.84%
2021년 04월 24일,"60,813,000","61,355,000","61,355,000","60,398,000",1.27K,-0.92%
2021년 04월 23일,"61,380,000","59,500,000","61,380,000","57,124,000",2.28K,3.16%
2021년 04월 22일,"59,500,000","67,884,000","67,884,000","59,500,000",3.46K,-12.25%
2021년 04월 21일,"67,805,000","70,299,000","70,299,000","67,805,000",1.24K,-3.53%
2021년 04월 20일,"70,289,000","71,001,000","71,001,000","69,713,000",1.28K,-1.00%
2021년 04월 19일,"71,001,000","75,810,000","75,810,000","71,001,000",1.85K,-6.31%
2021년 04월 18일,"75,783,000","77,956,000","77,956,000","72,986,000",1.63K,-2.79%
2021년 04월 17일,"77,959,000","79,250,000","79,250,000","77,646,000",1.05K,-1.58%
2021년 04월 16일,"79,213,000","79,425,000","79,524,000","79,110,000",1.16K,-0.27%
2021년 04월 15일,"79,425,000","80,171,000","80,171,000","79,425,000",0.93K,-0.93%
2021년 04월 14일,"80,171,000","80,663,000","80,663,000","80,146,000",1.16K,-0.61%
2021년 04월 13일,"80,661,000","78,009,000","80,661,000","78,009,000",1.39K,3.45%
2021년 04월 12일,"77,974,000","78,500,000","78,500,000","77,949,000",0.63K,-0.71%
2021년 04월 11일,"78,534,000","78,310,000","78,757,000","78,310,000",0.56K,0.30%
2021년 04월 10일,"78,303,000","75,655,000","78,303,000","75,655,000",1.10K,3.52%
2021년 04월 09일,"75,642,000","75,132,000","75,642,000","75,132,000",0.70K,0.61%
2021년 04월 08일,"75,183,000","72,980,000","75,183,000","72,391,000",0.97K,3.11%
2021년 04월 07일,"72,914,000","77,793,000","78,550,000","72,914,000",1.29K,-6.27%
2021년 04월 06일,"77,792,000","78,300,000","78,300,000","77,792,000",1.34K,-0.65%
2021년 04월 05일,"78,300,000","73,924,000","78,300,000","73,924,000",1.71K,5.92%
2021년 04월 04일,"73,924,000","72,076,000","74,121,000","72,076,000",0.81K,2.56%
2021년 04월 03일,"72,076,000","73,697,000","74,672,000","72,076,000",1.77K,-2.20%
2021년 04월 02일,"73,697,000","72,292,000","73,697,000","72,292,000",0.86K,1.91%
2021년 04월 01일,"72,314,000","71,001,000","72,402,000","71,001,000",1.14K,1.89%
2021년 03월 31일,"70,974,000","70,455,000","70,974,000","70,455,000",1.15K,0.72%
2021년 03월 30일,"70,470,000","68,407,000","70,470,000","68,407,000",0.65K,3.04%
2021년 03월 29일,"68,391,000","67,025,000","68,391,000","66,877,000",1.08K,2.02%
2021년 03월 28일,"67,035,000","66,428,000","67,035,000","66,428,000",0.68K,0.79%
2021년 03월 27일,"66,510,000","65,601,000","66,510,000","65,601,000",0.92K,1.39%
2021년 03월 26일,"65,601,000","63,146,000","65,601,000","63,146,000",0.79K,4.02%
2021년 03월 25일,"63,066,000","64,700,000","64,700,000","63,066,000",1.11K,-2.53%
2021년 03월 24일,"64,700,000","65,347,000","66,358,000","64,700,000",1.72K,-0.94%
2021년 03월 23일,"65,314,000","64,452,000","65,654,000","64,452,000",1.09K,1.34%
2021년 03월 22일,"64,453,000","67,103,000","67,306,000","64,453,000",1.74K,-3.94%
2021년 03월 21일,"67,097,000","67,470,000","67,470,000","67,097,000",0.80K,-0.56%
2021년 03월 20일,"67,473,000","67,729,000","68,476,000","67,473,000",1.15K,-0.37%
2021년 03월 19일,"67,726,000","66,905,000","67,726,000","66,905,000",0.85K,1.23%
2021년 03월 18일,"66,900,000","68,342,000","68,342,000","66,900,000",1.63K,-2.12%
2021년 03월 17일,"68,346,000","65,998,000","68,346,000","63,726,000",2.17K,3.56%
2021년 03월 16일,"65,997,000","64,432,000","65,997,000","63,078,000",0.98K,2.43%
2021년 03월 15일,"64,429,000","68,567,000","68,567,000","63,839,000",1.31K,-6.01%
2021년 03월 14일,"68,550,000","70,588,000","70,815,000","68,550,000",0.78K,-2.91%
2021년 03월 13일,"70,604,000","66,447,000","70,604,000","66,447,000",1.55K,6.23%
2021년 03월 12일,"66,465,000","66,103,000","66,684,000","66,103,000",1.24K,0.55%
2021년 03월 11일,"66,103,000","64,206,000","66,103,000","64,206,000",1.74K,3.04%
2021년 03월 10일,"64,151,000","62,950,000","64,237,000","62,950,000",2.10K,1.96%
2021년 03월 09일,"62,916,000","59,796,000","62,916,000","59,579,000",1.32K,5.25%
2021년 03월 08일,"59,777,000","58,016,000","59,777,000","58,016,000",4.55K,3.04%
2021년 03월 07일,"58,016,000","56,073,000","58,016,000","56,073,000",1.15K,3.44%
2021년 03월 06일,"56,086,000","56,533,000","56,533,000","56,086,000",4.16K,-0.74%
2021년 03월 05일,"56,506,000","56,325,000","56,506,000","56,325,000",6.09K,0.28%
2021년 03월 04일,"56,351,000","57,782,000","57,782,000","55,914,000",1.92K,-2.58%
2021년 03월 03일,"57,841,000","55,927,000","57,841,000","55,927,000",1.54K,3.36%
2021년 03월 02일,"55,963,000","56,376,000","56,376,000","55,776,000",5.89K,-0.70%
2021년 03월 01일,"56,355,000","51,795,000","56,355,000","51,795,000",3.22K,8.81%
2021년 02월 28일,"51,790,000","53,396,000","53,396,000","51,790,000",4.49K,-3.03%
2021년 02월 27일,"53,409,000","53,591,000","53,591,000","53,409,000",7.76K,-0.33%
2021년 02월 26일,"53,588,000","53,958,000","53,958,000","53,364,000",6.49K,-0.70%
2021년 02월 25일,"53,964,000","56,502,000","56,502,000","53,964,000",4.07K,-4.49%
2021년 02월 24일,"56,500,000","55,099,000","56,595,000","55,099,000",1.59K,2.56%
2021년 02월 23일,"55,088,000","61,712,000","61,712,000","54,161,000",3.23K,-10.75%
2021년 02월 22일,"61,723,000","65,418,000","65,418,000","61,723,000",2.88K,-5.65%
2021년 02월 21일,"65,418,000","64,218,000","65,418,000","64,218,000",1.04K,1.90%
2021년 02월 20일,"64,200,000","63,505,000","64,996,000","63,505,000",2.33K,1.10%
2021년 02월 19일,"63,502,000","57,774,000","63,502,000","57,774,000",2.53K,9.84%
2021년 02월 18일,"57,811,000","57,543,000","57,811,000","57,399,000",0.75K,0.52%
2021년 02월 17일,"57,513,000","54,748,000","57,513,000","54,748,000",1.43K,4.99%
2021년 02월 16일,"54,780,000","52,490,000","54,780,000","52,490,000",1.21K,4.35%
2021년 02월 15일,"52,498,000","52,631,000","52,631,000","51,795,000",1.04K,-0.26%
2021년 02월 14일,"52,636,000","50,611,000","52,636,000","50,611,000",1.00K,4.08%
2021년 02월 13일,"50,571,000","50,879,000","51,210,000","50,571,000",1.11K,-0.52%
2021년 02월 12일,"50,835,000","51,482,000","51,482,000","50,835,000",1.06K,-1.30%
2021년 02월 11일,"51,504,000","48,579,000","51,504,000","48,579,000",2.01K,6.02%
2021년 02월 10일,"48,580,000","48,645,000","48,645,000","47,970,000",1.81K,-0.14%
2021년 02월 09일,"48,649,000","49,158,000","49,748,000","48,649,000",1.67K,-1.02%
2021년 02월 08일,"49,150,000","42,098,000","49,150,000","42,098,000",4.72K,16.77%
2021년 02월 07일,"42,091,000","41,713,000","42,091,000","41,265,000",1.52K,0.85%
2021년 02월 06일,"41,737,000","40,458,000","43,032,000","40,458,000",2.38K,3.10%
2021년 02월 05일,"40,482,000","39,808,000","40,482,000","39,808,000",1.17K,1.66%
2021년 02월 04일,"39,820,000","39,353,000","39,820,000","39,353,000",1.57K,1.19%
2021년 02월 03일,"39,353,000","37,902,000","39,353,000","37,902,000",1.70K,3.89%
2021년 02월 02일,"37,878,000","36,527,000","37,878,000","36,527,000",1.84K,3.73%
2021년 02월 01일,"36,517,000","36,353,000","37,028,000","36,353,000",1.43K,0.45%
2021년 01월 31일,"36,355,000","36,972,000","36,972,000","36,355,000",1.78K,-1.64%
2021년 01월 30일,"36,961,000","37,470,000","37,470,000","36,662,000",2.00K,-1.46%
2021년 01월 29일,"37,509,000","36,635,000","40,308,000","36,635,000",2.92K,2.45%
2021년 01월 28일,"36,613,000","34,315,000","36,613,000","34,315,000",2.25K,6.70%
2021년 01월 27일,"34,315,000","35,950,000","35,950,000","34,315,000",2.75K,-4.55%
2021년 01월 26일,"35,950,000","36,021,000","36,060,000","35,950,000",1.82K,-0.31%
2021년 01월 25일,"36,061,000","35,545,000","36,372,000","35,545,000",2.87K,1.52%
2021년 01월 24일,"35,521,000","35,495,000","35,521,000","35,495,000",1.77K,0.12%
2021년 01월 23일,"35,479,000","36,365,000","36,365,000","35,379,000",0.96K,-2.44%
2021년 01월 22일,"36,365,000","34,401,000","36,365,000","34,401,000",2.12K,5.75%
2021년 01월 21일,"34,389,000","39,252,000","39,252,000","34,389,000",5.03K,-12.44%
2021년 01월 20일,"39,277,000","39,466,000","39,466,000","38,339,000",2.07K,-0.48%
2021년 01월 19일,"39,465,000","39,994,000","40,237,000","39,465,000",1.90K,-1.32%
2021년 01월 18일,"39,994,000","39,562,000","39,994,000","39,109,000",1.16K,1.12%
2021년 01월 17일,"39,552,000","40,065,000","40,065,000","39,552,000",1.39K,-1.32%
2021년 01월 16일,"40,083,000","41,011,000","41,011,000","40,083,000",1.54K,-2.34%
2021년 01월 15일,"41,045,000","42,742,000","42,742,000","41,045,000",4.01K,-4.02%
2021년 01월 14일,"42,762,000","41,393,000","42,762,000","41,393,000",3.67K,3.28%
2021년 01월 13일,"41,403,000","38,541,000","41,403,000","37,330,000",4.08K,7.43%
2021년 01월 12일,"38,541,000","40,362,000","40,362,000","38,541,000",2.87K,-4.46%
2021년 01월 11일,"40,340,000","43,406,000","43,406,000","35,135,000",9.55K,-7.15%
2021년 01월 10일,"43,447,000","45,603,000","46,620,000","43,447,000",6.30K,-4.75%
2021년 01월 09일,"45,614,000","47,231,000","47,231,000","45,614,000",2.45K,-3.44%
2021년 01월 08일,"47,241,000","44,592,000","47,241,000","44,592,000",3.88K,5.98%
2021년 01월 07일,"44,575,000","40,760,000","44,575,000","40,760,000",5.59K,9.44%
2021년 01월 06일,"40,731,000","37,989,000","40,731,000","37,989,000",4.25K,7.29%
2021년 01월 05일,"37,962,000","36,475,000","37,962,000","35,190,000",4.17K,4.01%
2021년 01월 04일,"36,499,000","37,553,000","38,113,000","36,499,000",2.92K,-2.89%
2021년 01월 03일,"37,586,000","35,705,000","37,586,000","35,705,000",5.43K,5.27%
2021년 01월 02일,"35,705,000","32,314,000","36,184,000","32,314,000",6.98K,10.50%
2021년 01월 01일,"32,312,000","32,023,000","32,414,000","32,023,000",1.36K,0.89%
2020년 12월 31일,"32,026,000","31,886,000","32,026,000","31,886,000",1.41K,0.44%
2020년 12월 30일,"31,886,000","30,445,000","31,886,000","30,445,000",2.50K,4.72%
2020년 12월 29일,"30,450,000","30,199,000","30,450,000","30,199,000",2.11K,0.83%
2020년 12월 28일,"30,199,000","29,356,000","30,199,000","29,356,000",1.76K,2.88%
2020년 12월 27일,"29,355,000","29,371,000","31,268,000","29,355,000",3.59K,-0.10%
2020년 12월 26일,"29,385,000","27,136,000","29,385,000","27,136,000",4.43K,8.29%
2020년 12월 25일,"27,135,000","26,466,000","27,135,000","26,466,000",2.48K,2.48%
2020년 12월 24일,"26,479,000","26,383,000","26,479,000","26,117,000",2.10K,0.39%
2020년 12월 23일,"26,376,000","26,777,000","26,777,000","26,376,000",2.98K,-1.52%
2020년 12월 22일,"26,782,000","25,329,000","26,782,000","25,252,000",2.10K,5.71%
2020년 12월 21일,"25,335,000","25,894,000","25,894,000","25,335,000",2.25K,-2.17%
2020년 12월 20일,"25,896,000","26,183,000","26,183,000","25,868,000",2.24K,-1.10%
2020년 12월 19일,"26,183,000","25,154,000","26,183,000","25,120,000",2.53K,4.09%
2020년 12월 18일,"25,153,000","24,690,000","25,153,000","24,690,000",1.29K,1.83%
2020년 12월 17일,"24,702,000","22,907,000","24,702,000","22,907,000",3.43K,7.78%
2020년 12월 16일,"22,918,000","21,090,000","22,918,000","21,090,000",3.48K,8.67%
2020년 12월 15일,"21,090,000","20,933,000","21,111,000","20,868,000",0.72K,0.75%
2020년 12월 14일,"20,933,000","20,790,000","20,933,000","20,790,000",1.19K,0.69%
2020년 12월 13일,"20,790,000","20,573,000","20,790,000","20,573,000",0.97K,1.12%
2020년 12월 12일,"20,560,000","19,648,000","20,560,000","19,648,000",1.16K,4.64%
2020년 12월 11일,"19,648,000","19,921,000","19,921,000","19,648,000",0.66K,-1.36%
2020년 12월 10일,"19,919,000","20,262,000","20,262,000","19,919,000",0.79K,-1.69%
2020년 12월 09일,"20,262,000","20,034,000","20,262,000","20,034,000",0.99K,1.18%
